league_name,team,matchday,last5_fulltime_goals_for_mean,last5_fulltime_goals_against_mean,last5_1sthalf_goals_for_mean,last5_1sthalf_goals_against_mean,last5_2ndhalf_goals_for_mean,last5_2ndhalf_goals_against_mean
Bundesliga,1. FC Köln,6,2.0,1.2,0.8,0.4,1.2,0.8
Bundesliga,1. FC Köln,7,1.4,1.2,0.8,0.6,0.6,0.6
Bundesliga,1. FC Köln,8,1.2,1.0,0.6,0.6,0.6,0.4
Bundesliga,1. FC Köln,9,1.6,1.2,0.6,0.8,1.0,0.4
Bundesliga,1. FC Köln,10,2.0,2.2,0.8,1.2,1.2,1.0
Bundesliga,1. FC Köln,11,1.8,2.2,0.2,1.2,1.6,1.0
Bundesliga,1. FC Köln,12,1.8,3.0,0.2,1.6,1.6,1.4
Bundesliga,1. FC Köln,13,1.8,3.0,0.4,1.6,1.4,1.4
Bundesliga,1. FC Köln,14,1.2,3.0,0.4,1.4,0.8,1.6
Bundesliga,1. FC Köln,15,1.0,2.4,0.4,1.0,0.6,1.4
Bundesliga,1. FC Köln,16,0.4,2.4,0.4,1.0,0.0,1.4
Bundesliga,1. FC Köln,17,1.8,1.6,1.4,0.6,0.4,1.0
Bundesliga,1. FC Köln,18,1.8,1.6,1.4,0.4,0.4,1.2
Bundesliga,1. FC Köln,19,1.8,1.2,1.4,0.4,0.4,0.8
Bundesliga,1. FC Köln,20,1.6,0.8,1.2,0.4,0.4,0.4
Bundesliga,1. FC Köln,21,2.2,0.4,1.2,0.2,1.0,0.2
Bundesliga,1. FC Köln,22,0.8,0.8,0.2,0.2,0.6,0.6
Bundesliga,1. FC Köln,23,0.6,1.0,0.0,0.4,0.6,0.6
Bundesliga,1. FC Köln,24,0.6,1.0,0.0,0.4,0.6,0.6
Bundesliga,1. FC Köln,25,0.6,1.4,0.0,0.6,0.6,0.8
Bundesliga,1. FC Köln,26,0.2,2.6,0.2,1.4,0.0,1.2
Bundesliga,1. FC Köln,27,0.2,2.0,0.2,1.2,0.0,0.8
Bundesliga,1. FC Köln,28,0.8,1.8,0.6,1.2,0.2,0.6
Bundesliga,1. FC Köln,29,1.0,2.0,0.6,1.4,0.4,0.6
Bundesliga,1. FC Köln,30,1.6,1.8,1.0,1.2,0.6,0.6
Bundesliga,1. FC Köln,31,1.4,0.8,0.8,0.4,0.6,0.4
Bundesliga,1. FC Köln,32,1.8,1.0,1.2,0.6,0.6,0.4
Bundesliga,1. FC Köln,33,2.2,1.2,1.4,0.8,0.8,0.4
Bundesliga,1. FC Köln,34,2.2,1.2,1.6,0.6,0.6,0.6
Bundesliga,1. FC Union Berlin,6,2.4,0.8,1.4,0.4,1.0,0.4
Bundesliga,1. FC Union Berlin,7,2.0,0.6,1.4,0.4,0.6,0.2
Bundesliga,1. FC Union Berlin,8,2.4,0.6,1.4,0.4,1.0,0.2
Bundesliga,1. FC Union Berlin,9,2.0,0.8,1.0,0.8,1.0,0.0
Bundesliga,1. FC Union Berlin,10,1.0,0.6,0.4,0.6,0.6,0.0
Bundesliga,1. FC Union Berlin,11,1.2,0.4,0.6,0.4,0.6,0.0
Bundesliga,1. FC Union Berlin,12,1.2,0.8,0.4,0.6,0.8,0.2
Bundesliga,1. FC Union Berlin,13,1.2,1.0,0.4,0.8,0.8,0.2
Bundesliga,1. FC Union Berlin,14,1.2,1.6,0.4,0.4,0.8,1.2
Bundesliga,1. FC Union Berlin,15,1.4,2.0,0.8,0.8,0.6,1.2
Bundesliga,1. FC Union Berlin,16,1.2,2.8,0.4,1.6,0.8,1.2
Bundesliga,1. FC Union Berlin,17,1.6,2.6,0.4,1.6,1.2,1.0
Bundesliga,1. FC Union Berlin,18,1.6,2.6,0.6,1.6,1.0,1.0
Bundesliga,1. FC Union Berlin,19,2.0,1.6,0.8,1.6,1.2,0.0
Bundesliga,1. FC Union Berlin,20,2.0,1.4,0.6,1.2,1.4,0.2
Bundesliga,1. FC Union Berlin,21,2.2,0.8,0.6,0.6,1.6,0.2
Bundesliga,1. FC Union Berlin,22,1.6,0.6,0.6,0.4,1.0,0.2
Bundesliga,1. FC Union Berlin,23,1.2,1.0,0.4,0.8,0.8,0.2
Bundesliga,1. FC Union Berlin,24,0.8,1.0,0.2,0.8,0.6,0.2
Bundesliga,1. FC Union Berlin,25,0.6,1.0,0.0,0.8,0.6,0.2
Bundesliga,1. FC Union Berlin,26,0.6,0.8,0.0,0.6,0.6,0.2
Bundesliga,1. FC Union Berlin,27,1.2,0.8,0.0,0.6,1.2,0.2
Bundesliga,1. FC Union Berlin,28,1.4,0.6,0.0,0.2,1.4,0.4
Bundesliga,1. FC Union Berlin,29,1.6,0.8,0.2,0.2,1.4,0.6
Bundesliga,1. FC Union Berlin,30,1.6,0.6,0.2,0.2,1.4,0.4
Bundesliga,1. FC Union Berlin,31,1.2,0.6,0.2,0.2,1.0,0.4
Bundesliga,1. FC Union Berlin,32,0.6,0.8,0.2,0.2,0.4,0.6
Bundesliga,1. FC Union Berlin,33,1.2,0.8,0.8,0.0,0.4,0.8
Bundesliga,1. FC Union Berlin,34,1.4,1.4,0.8,0.4,0.6,1.0
Bundesliga,1. FSV Mainz 05,6,1.0,1.0,0.4,1.0,0.6,0.0
Bundesliga,1. FSV Mainz 05,7,0.8,1.6,0.2,0.8,0.6,0.8
Bundesliga,1. FSV Mainz 05,8,1.0,1.8,0.2,1.0,0.8,0.8
Bundesliga,1. FSV Mainz 05,9,0.8,2.0,0.0,1.2,0.8,0.8
Bundesliga,1. FSV Mainz 05,10,1.0,1.6,0.2,0.6,0.8,1.0
Bundesliga,1. FSV Mainz 05,11,1.2,1.6,0.4,0.6,0.8,1.0
