league_name,team_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Bundesliga,Eintracht Frankfurt,L,D,D,W,W,L,W,W,L,W,W,L,W,W,D,W,D,D,W,L,W,L,D,D,L,D,L,D,L,D,L,W,D,P,P,P,P,P
Bundesliga,FC Augsburg,L,W,L,L,L,W,W,W,D,L,D,L,L,D,L,L,W,L,W,L,W,L,W,L,D,D,L,L,D,D,W,L,L,P,P,P,P,P
Bundesliga,VfL Bochum 1848,L,L,L,L,L,L,D,L,W,L,W,L,L,W,W,W,L,L,W,L,L,L,L,W,W,D,L,D,L,D,L,W,D,P,P,P,P,P
Bundesliga,VfL Wolfsburg,D,L,D,L,L,W,L,W,D,D,D,W,W,W,W,W,W,L,L,D,L,W,D,D,W,D,L,D,W,W,L,W,L,P,P,P,P,P
Bundesliga,Borussia Mönchengladbach,W,D,W,D,L,D,W,L,W,D,L,L,W,L,W,L,L,W,D,L,W,L,D,L,D,D,W,D,L,L,W,L,D,P,P,P,P,P
Bundesliga,1. FC Union Berlin,W,D,W,W,D,W,W,L,W,W,L,W,L,D,L,W,W,W,W,W,D,L,D,D,W,W,L,D,W,D,L,W,L,P,P,P,P,P
Bundesliga,Borussia Dortmund,W,W,L,W,W,L,W,L,D,L,W,W,W,L,L,W,W,W,W,W,W,W,W,D,W,L,W,D,W,D,W,W,W,P,P,P,P,P
Bundesliga,VfB Stuttgart,D,D,L,D,D,D,L,L,L,W,L,W,L,W,L,D,D,L,L,L,W,L,L,D,L,L,W,D,D,W,L,D,W,P,P,P,P,P
Bundesliga,1. FC Köln,W,D,D,D,W,L,D,W,L,W,L,D,L,L,L,W,D,D,D,W,L,L,D,L,L,D,W,D,W,L,W,W,D,P,P,P,P,P
Bundesliga,SC Freiburg,W,L,W,W,W,D,D,W,D,L,W,W,W,L,W,L,D,W,L,W,W,D,D,W,D,D,L,W,W,W,L,L,W,P,P,P,P,P
Bundesliga,SV Werder Bremen,D,D,W,L,W,L,D,W,W,L,L,W,W,L,L,L,L,W,W,L,L,W,L,L,D,L,D,L,W,L,L,L,D,P,P,P,P,P
Bundesliga,Hertha BSC,L,D,L,L,W,D,D,D,D,L,W,L,L,L,W,L,L,L,L,W,L,W,L,D,L,D,L,L,L,L,W,L,D,P,P,P,P,P
Bundesliga,TSG 1899 Hoffenheim,L,W,W,W,L,W,D,D,L,W,L,D,L,L,L,L,D,L,L,L,L,L,L,L,W,W,W,D,L,L,W,L,W,P,P,P,P,P
Bundesliga,RB Leipzig,D,D,L,W,L,W,L,W,D,W,D,W,W,W,W,D,W,W,D,L,W,W,L,W,L,L,W,W,L,W,W,W,W,P,P,P,P,P
Bundesliga,Bayer 04 Leverkusen,L,L,L,W,L,D,D,L,W,L,D,L,W,W,W,W,W,L,L,W,L,D,W,W,W,W,W,D,W,D,L,D,D,P,P,P,P,P
Bundesliga,FC Schalke 04,L,D,D,L,D,W,L,L,L,L,L,L,L,W,L,L,L,D,D,D,D,W,W,D,D,L,L,W,L,W,W,L,D,P,P,P,P,P
Bundesliga,1. FSV Mainz 05,W,D,W,L,W,L,D,L,D,W,W,L,L,L,D,D,L,W,L,W,W,W,W,D,D,W,D,D,W,L,L,L,L,P,P,P,P,P
Bundesliga,FC Bayern München,W,W,W,D,D,D,L,W,D,W,W,W,W,W,W,D,D,D,W,W,L,W,W,W,L,W,W,D,L,W,W,W,L,P,P,P,P,P
Eredivisie,SC Heerenveen,D,D,W,W,D,L,W,D,L,D,W,L,W,W,D,L,W,L,L,L,L,W,L,D,L,W,D,W,L,L,W,D,D,P,P,P,P,P
Eredivisie,Fortuna Sittard,L,L,L,L,L,D,W,W,W,D,D,L,L,W,L,D,L,W,W,D,W,L,L,W,L,L,W,L,L,L,W,L,L,P,P,P,P,P
Eredivisie,SC Cambuur-Leeuwarden,L,D,W,L,L,L,L,W,D,L,L,L,L,L,L,D,L,W,L,L,D,L,L,W,L,L,L,L,L,L,L,L,L,P,P,P,P,P
Eredivisie,PSV,W,W,W,W,L,W,W,L,W,W,L,W,W,L,D,D,W,L,W,D,W,D,W,W,W,D,W,W,W,W,W,W,D,P,P,P,P,P
Eredivisie,RKC Waalwijk,D,D,L,D,W,L,W,D,W,D,L,L,W,L,D,L,W,D,W,D,L,W,W,L,L,L,W,L,W,L,W,L,L,P,P,P,P,P
Eredivisie,FC Groningen,D,L,W,D,L,W,L,L,L,L,W,D,L,L,L,L,L,L,L,D,L,D,W,L,L,L,L,L,L,L,D,L,L,P,P,P,P,P
Eredivisie,NEC,L,W,D,D,D,D,D,D,D,L,D,L,W,W,D,D,W,L,D,L,D,W,W,L,D,W,L,D,L,W,L,L,L,P,P,P,P,P
Eredivisie,SBV Vitesse,L,L,L,D,W,L,D,L,L,W,W,D,L,D,D,D,L,D,W,D,W,L,L,L,L,D,L,W,W,D,L,W,W,P,P,P,P,P
Eredivisie,AZ,W,W,D,W,W,D,W,W,W,L,L,W,L,W,D,W,W,W,D,D,W,L,W,W,W,L,D,L,W,W,D,W,W,P,P,P,P,P
Eredivisie,SBV Excelsior,W,W,L,L,L,W,L,L,D,L,W,L,L,L,W,L,W,L,L,D,L,L,L,L,L,W,D,L,W,D,L,D,W,P,P,P,P,P
Eredivisie,Go Ahead Eagles,L,L,L,L,L,W,W,D,D,D,D,W,D,D,W,D,L,L,L,W,L,W,D,L,W,W,D,L,L,W,D,L,W,P,P,P,P,P
Eredivisie,FC Utrecht,D,D,L,L,W,W,D,W,L,L,W,W,W,W,D,D,L,W,D,W,L,D,W,L,D,L,D,W,W,L,W,W,L,P,P,P,P,P
Eredivisie,FC Emmen,L,D,W,L,L,L,L,D,L,D,L,D,W,D,L,D,L,W,L,D,L,D,D,L,W,L,W,D,L,W,L,L,L,P,P,P,P,P
Eredivisie,Feyenoord Rotterdam,W,D,W,W,W,W,L,D,W,W,D,W,W,W,D,W,D,W,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,P,P,P,P,P
Eredivisie,FC Volendam,D,L,L,W,L,L,D,L,L,D,L,L,L,L,W,W,L,D,W,D,L,W,L,W,L,W,D,L,L,W,L,W,L,P,P,P,P,P
